candidate_id,run_role,geo_id,canonical_metric_key,feature_component,feature_origin,series_variant,series_family,comparison_pair,minimum_calendar_month_mean_absolute_change,maximum_calendar_month_mean_absolute_change,seasonal_spread,minimum_month,maximum_month,baseline_seasonal_spread,seasonal_spread_ratio_challenger_vs_baseline,dimension,axis
price_family_ma12_structural_linked,raw_source,20003_district_of_columbia_dc__zip,median_ppsf,level,raw_source,raw_level,raw_structural_feature,raw_vs_structural_ma12,1.4884288170513111,2.166317611184504,0.677888794133193,1.0,3.0,0.677888794133193,1.0,,
price_family_ma12_structural_linked,structural_ma12,20003_district_of_columbia_dc__zip,median_ppsf,level,structural_ma12,ma12_level,raw_structural_feature,raw_vs_structural_ma12,1.4884288170513111,2.166317611184504,0.677888794133193,1.0,3.0,0.677888794133193,1.0,,
price_family_ma12_structural_linked,raw_source,20003_district_of_columbia_dc__zip,median_sale_price,level,raw_source,raw_level,raw_structural_feature,raw_vs_structural_ma12,2525.641025641011,7092.307692307692,4566.6666666666815,11.0,2.0,4566.6666666666815,1.0,,
price_family_ma12_structural_linked,structural_ma12,20003_district_of_columbia_dc__zip,median_sale_price,level,structural_ma12,ma12_level,raw_structural_feature,raw_vs_structural_ma12,2525.641025641011,7092.307692307692,4566.6666666666815,11.0,2.0,4566.6666666666815,1.0,,
price_family_ma12_structural_linked,raw_source,20004_district_of_columbia_dc__zip,median_ppsf,level,raw_source,raw_level,raw_structural_feature,raw_vs_structural_ma12,1.1164374868910552,3.2909517914102584,2.174514304519203,9.0,6.0,2.174514304519203,1.0,,
price_family_ma12_structural_linked,structural_ma12,20004_district_of_columbia_dc__zip,median_ppsf,level,structural_ma12,ma12_level,raw_structural_feature,raw_vs_structural_ma12,1.1164374868910552,3.2909517914102584,2.174514304519203,9.0,6.0,2.174514304519203,1.0,,
price_family_ma12_structural_linked,raw_source,20004_district_of_columbia_dc__zip,median_sale_price,level,raw_source,raw_level,raw_structural_feature,raw_vs_structural_ma12,1615.3846153846198,6849.357142857151,5233.9725274725315,8.0,5.0,5233.9725274725315,1.0,,
price_family_ma12_structural_linked,structural_ma12,20004_district_of_columbia_dc__zip,median_sale_price,level,structural_ma12,ma12_level,raw_structural_feature,raw_vs_structural_ma12,1615.3846153846198,6849.357142857151,5233.9725274725315,8.0,5.0,5233.9725274725315,1.0,,
price_family_ma12_structural_linked,raw_source,20005_district_of_columbia_dc__zip,median_ppsf,level,raw_source,raw_level,raw_structural_feature,raw_vs_structural_ma12,1.8705444699807965,4.975615091474363,3.1050706214935664,7.0,2.0,3.1050706214935664,1.0,,
price_family_ma12_structural_linked,structural_ma12,20005_district_of_columbia_dc__zip,median_ppsf,level,structural_ma12,ma12_level,raw_structural_feature,raw_vs_structural_ma12,1.8705444699807965,4.975615091474363,3.1050706214935664,7.0,2.0,3.1050706214935664,1.0,,
price_family_ma12_structural_linked,raw_source,20005_district_of_columbia_dc__zip,median_sale_price,level,raw_source,raw_level,raw_structural_feature,raw_vs_structural_ma12,2526.7500000000223,8624.358974358986,6097.608974358964,8.0,2.0,6097.608974358964,1.0,,
price_family_ma12_structural_linked,structural_ma12,20005_district_of_columbia_dc__zip,median_sale_price,level,structural_ma12,ma12_level,raw_structural_feature,raw_vs_structural_ma12,2526.7500000000223,8624.358974358986,6097.608974358964,8.0,2.0,6097.608974358964,1.0,,
