geo_name,geo_level,redfin_code,state_code,include,notes
"King & Queen County, VA",county,2984,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2984
"King William County, VA",county,2986,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2986
"Kings County, CA",county,318,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=318
"Lake County, CA",county,319,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=319
"Lassen County, CA",county,320,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=320
"Los Angeles County, CA",county,321,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=321
"Loudoun County, VA",county,2989,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2989
"Lynchburg, VA",county,3051,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3051
"Madera County, CA",county,322,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=322
"Madison County, VA",county,2992,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2992
"Manassas Park, VA",county,3053,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3053
"Manassas, VA",county,3052,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3052
"Marin County, CA",county,323,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=323
"Martinsville, VA",county,3054,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3054
"Mathews County, VA",county,2993,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2993
"Mendocino County, CA",county,325,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=325
"Merced County, CA",county,326,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=326
"Mercer County, NJ",county,1901,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1901
"Middlesex County, NJ",county,1902,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1902
"Monmouth County, NJ",county,1903,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1903
"Monterey County, CA",county,329,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=329
"Montgomery County, MD",county,1324,MD,1,Generated from Redfin macro hierarchy; state_code=MD; redfin_table_id=1324
"Montgomery County, VA",county,2996,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2996
"Morris County, NJ",county,1904,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1904
"Napa County, CA",county,330,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=330
"Nelson County, VA",county,2997,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2997
"Nevada County, CA",county,331,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=331
"New Kent County, VA",county,2998,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=2998
"Newport News, VA",county,3055,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3055
"Norfolk, VA",county,3056,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3056
"Norton, VA",county,3057,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3057
"Ocean County, NJ",county,1905,NJ,1,Generated from Redfin macro hierarchy; state_code=NJ; redfin_table_id=1905
"Orange County, CA",county,332,CA,1,Generated from Redfin macro hierarchy; state_code=CA; redfin_table_id=332
"Petersburg, VA",county,3058,VA,1,Generated from Redfin macro hierarchy; state_code=VA; redfin_table_id=3058
