geo_name,geo_level,redfin_code,state_code,include,notes
"20812, Montgomery County, MD",zip,8257,MD,1,"Generated from Redfin local context hierarchy; zip5=20812; state_code=MD; county=Montgomery County, MD; redfin_table_id=8257; parent_county_table_id=1324"
"20814, Montgomery County, MD",zip,8259,MD,1,"Generated from Redfin local context hierarchy; zip5=20814; state_code=MD; county=Montgomery County, MD; redfin_table_id=8259; parent_county_table_id=1324"
"20815, Montgomery County, MD",zip,8260,MD,1,"Generated from Redfin local context hierarchy; zip5=20815; state_code=MD; county=Montgomery County, MD; redfin_table_id=8260; parent_county_table_id=1324"
"20816, Montgomery County, MD",zip,8261,MD,1,"Generated from Redfin local context hierarchy; zip5=20816; state_code=MD; county=Montgomery County, MD; redfin_table_id=8261; parent_county_table_id=1324"
"20817, Montgomery County, MD",zip,8262,MD,1,"Generated from Redfin local context hierarchy; zip5=20817; state_code=MD; county=Montgomery County, MD; redfin_table_id=8262; parent_county_table_id=1324"
"20818, Montgomery County, MD",zip,8263,MD,1,"Generated from Redfin local context hierarchy; zip5=20818; state_code=MD; county=Montgomery County, MD; redfin_table_id=8263; parent_county_table_id=1324"
"20824, Montgomery County, MD",zip,8264,MD,1,"Generated from Redfin local context hierarchy; zip5=20824; state_code=MD; county=Montgomery County, MD; redfin_table_id=8264; parent_county_table_id=1324"
"20830, Montgomery County, MD",zip,8267,MD,1,"Generated from Redfin local context hierarchy; zip5=20830; state_code=MD; county=Montgomery County, MD; redfin_table_id=8267; parent_county_table_id=1324"
"20832, Montgomery County, MD",zip,8268,MD,1,"Generated from Redfin local context hierarchy; zip5=20832; state_code=MD; county=Montgomery County, MD; redfin_table_id=8268; parent_county_table_id=1324"
"20833, Montgomery County, MD",zip,8269,MD,1,"Generated from Redfin local context hierarchy; zip5=20833; state_code=MD; county=Montgomery County, MD; redfin_table_id=8269; parent_county_table_id=1324"
"20837, Montgomery County, MD",zip,8270,MD,1,"Generated from Redfin local context hierarchy; zip5=20837; state_code=MD; county=Montgomery County, MD; redfin_table_id=8270; parent_county_table_id=1324"
"20838, Montgomery County, MD",zip,8271,MD,1,"Generated from Redfin local context hierarchy; zip5=20838; state_code=MD; county=Montgomery County, MD; redfin_table_id=8271; parent_county_table_id=1324"
"20839, Montgomery County, MD",zip,8272,MD,1,"Generated from Redfin local context hierarchy; zip5=20839; state_code=MD; county=Montgomery County, MD; redfin_table_id=8272; parent_county_table_id=1324"
