candidate_id,run_role,geo_id,canonical_metric_key,feature_component,feature_origin,series_variant,calendar_month,calendar_month_observation_count,calendar_month_mean_absolute_change,series_family,comparison_pair,dimension,axis
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,short,normalized_feature,normalized_score,4,11,0.3299654275805773,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,short,normalized_feature,normalized_score,5,11,0.241108966564434,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,short,normalized_feature,normalized_score,6,10,0.19871796052606722,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,short,normalized_feature,normalized_score,7,10,0.1420400155398113,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,short,normalized_feature,normalized_score,8,11,0.24414197423068096,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,short,normalized_feature,normalized_score,9,11,0.3239247292250067,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,short,normalized_feature,normalized_score,10,11,0.3247897338899986,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,short,normalized_feature,normalized_score,11,11,0.18406796825953375,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_ppsf,short,normalized_feature,normalized_score,12,11,0.09217478954560052,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,1,12,0.1111118332085431,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,2,12,0.18504826320063414,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,3,12,0.20427220604878413,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,4,12,0.03915664419721213,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,5,12,0.059683148738382895,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,6,11,0.021585132262103415,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,7,11,0.05848648774478926,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,8,11,0.08732970773075387,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,9,11,0.06731825245273443,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,10,11,0.0823264628340346,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,11,11,0.11577115672244077,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,12,12,0.11943436391443477,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,1,11,0.07098309430457622,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,2,11,0.0236224330814125,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,3,11,0.04273099893516927,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,4,11,0.0626185113001413,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,5,12,0.03534906017811889,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,6,11,0.02626496709274149,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,7,11,0.020025680244417463,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,8,11,0.01554470122232754,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,9,11,0.020400873943193665,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,10,11,0.031055186490036257,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,11,11,0.05833646318224355,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,level,normalized_feature,normalized_score,12,11,0.060656944976363245,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,1,11,0.2014014065405955,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,2,11,0.33357367913659103,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,3,11,0.19028641408300667,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,4,11,0.1321581126717874,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,5,11,0.3516327744073877,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,6,10,0.2897118421692361,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,7,10,0.24762974902821133,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,8,10,0.16911863554696524,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,9,10,0.18908302181856906,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,10,10,0.26277153813340504,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,11,10,0.2736662654267393,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,baseline,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,12,11,0.2562569775249373,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,1,10,0.07799581849166734,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,2,10,0.08854965770399256,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,3,10,0.05355036730917027,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,4,10,0.0838394063377293,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,5,11,0.10116287013062589,normalized_feature,baseline_vs_challenger,,
price_family_ma6_structural_linked,challenger,alameda_county_ca__county,median_sale_price,long,normalized_feature,normalized_score,6,10,0.11032816779325898,normalized_feature,baseline_vs_challenger,,
