series_id,geo_id,geo_level,metric_id,provider_measure_code,seasonal_adjustment,unit,scale_transform,classification,target_controlling
LAUCN061010000000003,sutter_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN061010000000004,sutter_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN061010000000005,sutter_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN061010000000006,sutter_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN061030000000003,tehama_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN061030000000004,tehama_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN061030000000005,tehama_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN061030000000006,tehama_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN061070000000003,tulare_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN061070000000004,tulare_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN061070000000005,tulare_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN061070000000006,tulare_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN061090000000003,tuolumne_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN061090000000004,tuolumne_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN061090000000005,tuolumne_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN061090000000006,tuolumne_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN061110000000003,ventura_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN061110000000004,ventura_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN061110000000005,ventura_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN061110000000006,ventura_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN061130000000003,yolo_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN061130000000004,yolo_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN061130000000005,yolo_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN061130000000006,yolo_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN061150000000003,yuba_county_ca__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN061150000000004,yuba_county_ca__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN061150000000005,yuba_county_ca__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN061150000000006,yuba_county_ca__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN110010000000003,district_of_columbia_dc__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN110010000000004,district_of_columbia_dc__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN110010000000005,district_of_columbia_dc__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN110010000000006,district_of_columbia_dc__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN240010000000003,allegany_county_md__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN240010000000004,allegany_county_md__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN240010000000005,allegany_county_md__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN240010000000006,allegany_county_md__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN240030000000003,anne_arundel_county_md__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN240030000000004,anne_arundel_county_md__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN240030000000005,anne_arundel_county_md__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN240030000000006,anne_arundel_county_md__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN240050000000003,baltimore_county_md__county,county,laus_unemployment_rate_nsa,003,NSA,percent,none,GOVERNED_REQUIRED,true
LAUCN240050000000004,baltimore_county_md__county,county,laus_unemployment_nsa,004,NSA,persons,none,GOVERNED_DIAGNOSTIC,false
LAUCN240050000000005,baltimore_county_md__county,county,laus_employment_nsa,005,NSA,persons,none,GOVERNED_REQUIRED,true
LAUCN240050000000006,baltimore_county_md__county,county,laus_labor_force_nsa,006,NSA,persons,none,GOVERNED_REQUIRED,true
