date,metric,stage,standardized_value,county_count
2008-08-31,laus_unemployment_rate,MA6,-0.39036440241496834,7
2008-08-31,laus_unemployment_rate,MA9,-0.5285702278887379,7
2008-08-31,laus_unemployment_rate,Raw,-0.010546804297942096,7
2008-09-30,employment,MA3,-0.8539084558546567,7
2008-09-30,employment,MA6,-0.8795679177462816,7
2008-09-30,employment,MA9,-0.9430900676867182,7
2008-09-30,employment,Raw,-0.9923891320259772,7
2008-09-30,labor_force,MA3,-1.0157103685456614,7
2008-09-30,labor_force,MA6,-1.1772529840072052,7
2008-09-30,labor_force,MA9,-1.3329869367185583,7
2008-09-30,labor_force,Raw,-1.175228834066891,7
2008-09-30,laus_unemployment_rate,MA3,-0.05339011312517933,7
2008-09-30,laus_unemployment_rate,MA6,-0.29425497490323954,7
2008-09-30,laus_unemployment_rate,MA9,-0.4375404337869642,7
2008-09-30,laus_unemployment_rate,Raw,-0.06385180606608513,7
2008-10-31,employment,MA3,-0.9396933657896478,7
2008-10-31,employment,MA6,-0.8874561986104047,7
2008-10-31,employment,MA9,-0.9250782993210933,7
2008-10-31,employment,Raw,-0.9247500525854291,7
2008-10-31,labor_force,MA3,-1.0983577775866415,7
2008-10-31,labor_force,MA6,-1.1145939700958565,7
2008-10-31,labor_force,MA9,-1.2676648415833662,7
2008-10-31,labor_force,Raw,-1.0389307132147336,7
2008-10-31,laus_unemployment_rate,MA3,-0.02185861039764084,7
2008-10-31,laus_unemployment_rate,MA6,-0.15398210899826295,7
2008-10-31,laus_unemployment_rate,MA9,-0.3664945426701484,7
2008-10-31,laus_unemployment_rate,Raw,0.03134105495171617,7
2008-11-30,employment,MA3,-0.9831351937160077,7
2008-11-30,employment,MA6,-0.9017688398609175,7
2008-11-30,employment,MA9,-0.922414451405638,7
2008-11-30,employment,Raw,-1.0061306022786582,7
2008-11-30,labor_force,MA3,-1.123082139706957,7
2008-11-30,labor_force,MA6,-1.0759189910969615,7
2008-11-30,labor_force,MA9,-1.2163311328402868,7
2008-11-30,labor_force,Raw,-1.108033914670747,7
2008-11-30,laus_unemployment_rate,MA3,0.015144436397793929,7
2008-11-30,laus_unemployment_rate,MA6,-0.05474519643557891,7
2008-11-30,laus_unemployment_rate,MA9,-0.275918478972669,7
2008-11-30,laus_unemployment_rate,Raw,0.09885562732961602,7
2008-12-31,employment,MA3,-1.0180871069565194,7
2008-12-31,employment,MA6,-0.9431487031212596,7
2008-12-31,employment,MA9,-0.9393224524856171,7
2008-12-31,employment,Raw,-1.0958940695071957,7
2008-12-31,labor_force,MA3,-1.1153168338431203,7
2008-12-31,labor_force,MA6,-1.080491383984405,7
2008-12-31,labor_force,MA9,-1.1847452997789154,7
2008-12-31,labor_force,Raw,-1.152607390609975,7
2008-12-31,laus_unemployment_rate,MA3,0.12461089069218774,7
2008-12-31,laus_unemployment_rate,MA6,0.026551338528624686,7
2008-12-31,laus_unemployment_rate,MA9,-0.17210032910019288,7
2008-12-31,laus_unemployment_rate,Raw,0.25820075654268904,7
2009-01-31,employment,MA3,-1.1671513416445027,7
2009-01-31,employment,MA6,-1.0625263391517017,7
2009-01-31,employment,MA9,-0.996208364491684,7
2009-01-31,employment,Raw,-1.3649290356678656,7
2009-01-31,labor_force,MA3,-1.1941850929025286,7
2009-01-31,labor_force,MA6,-1.1631212640859492,7
2009-01-31,labor_force,MA9,-1.1698102765315148,7
2009-01-31,labor_force,Raw,-1.2685544720227266,7
2009-01-31,laus_unemployment_rate,MA3,0.3838140720447369,7
2009-01-31,laus_unemployment_rate,MA6,0.1755005348520484,7
2009-01-31,laus_unemployment_rate,MA9,0.014540749907648096,7
2009-01-31,laus_unemployment_rate,Raw,0.7930062057576072,7
2009-02-28,employment,MA3,-1.290553317868587,7
2009-02-28,employment,MA6,-1.1473375463454634,7
2009-02-28,employment,MA9,-1.048563426408871,7
2009-02-28,employment,Raw,-1.3706130692791736,7
2009-02-28,labor_force,MA3,-1.2176188440395577,7
2009-02-28,labor_force,MA6,-1.1875971715664388,7
2009-02-28,labor_force,MA9,-1.1517615857795527,7
2009-02-28,labor_force,Raw,-1.1753736002687112,7
2009-02-28,laus_unemployment_rate,MA3,0.6891249580321659,7
2009-02-28,laus_unemployment_rate,MA6,0.35086866252156274,7
2009-02-28,laus_unemployment_rate,MA9,0.1893207539445716,7
2009-02-28,laus_unemployment_rate,Raw,0.9961155153818593,7
2009-03-31,employment,MA3,-1.3810288835936115,7
2009-03-31,employment,MA6,-1.211244543373741,7
2009-03-31,employment,MA9,-1.107975641963733,7
2009-03-31,employment,Raw,-1.3628126102228173,7
2009-03-31,labor_force,MA3,-1.2225601853205332,7
2009-03-31,labor_force,MA6,-1.1864609258792476,7
2009-03-31,labor_force,MA9,-1.1568244391589881,7
2009-03-31,labor_force,Raw,-1.1653746394744593,7
2009-03-31,laus_unemployment_rate,MA3,0.9457445346576333,7
2009-03-31,laus_unemployment_rate,MA6,0.5386708456300584,7
2009-03-31,laus_unemployment_rate,MA9,0.33505971429104114,7
2009-03-31,laus_unemployment_rate,Raw,1.0117703075838953,7
2009-04-30,employment,MA3,-1.370122144862029,7
2009-04-30,employment,MA6,-1.281559436311133,7
2009-04-30,employment,MA9,-1.1851323853128057,7
2009-04-30,employment,Raw,-1.3330290668620357,7
2009-04-30,labor_force,MA3,-1.196059830543313,7
2009-04-30,labor_force,MA6,-1.21356877622433,7
2009-04-30,labor_force,MA9,-1.203877296155493,7
2009-04-30,labor_force,Raw,-1.1908739102311483,7
2009-04-30,laus_unemployment_rate,MA3,0.9771840015049174,7
2009-04-30,laus_unemployment_rate,MA6,0.6879457251392983,7
2009-04-30,laus_unemployment_rate,MA9,0.44820524537270184,7
2009-04-30,laus_unemployment_rate,Raw,0.8846565312757237,7
2009-05-31,employment,MA3,-1.384550642407018,7
2009-05-31,employment,MA6,-1.3517010613103502,7
2009-05-31,employment,MA9,-1.2476101477925743,7
2009-05-31,employment,Raw,-1.4136428283246327,7
2009-05-31,labor_force,MA3,-1.2053940465536546,7
2009-05-31,labor_force,MA6,-1.230976833680998,7
2009-05-31,labor_force,MA9,-1.2241542862433497,7
2009-05-31,labor_force,Raw,-1.2005746730315678,7
2009-05-31,laus_unemployment_rate,MA3,1.030195668779956,7
2009-05-31,laus_unemployment_rate,MA6,0.8718082075273268,7
2009-05-31,laus_unemployment_rate,MA9,0.5868589107418235,7
2009-05-31,laus_unemployment_rate,Raw,1.151493531250073,7
2009-06-30,employment,MA3,-1.3789630809175113,7
2009-06-30,employment,MA6,-1.3949733640915205,7
2009-06-30,employment,MA9,-1.2890524224986897,7
2009-06-30,employment,Raw,-1.3467132663223833,7
2009-06-30,labor_force,MA3,-1.1405171941311678,7
2009-06-30,labor_force,MA6,-1.2008534920504206,7
2009-06-30,labor_force,MA9,-1.2010992656863884,7
2009-06-30,labor_force,Raw,-0.973950188349117,7
2009-06-30,laus_unemployment_rate,MA3,1.1833775421756962,7
2009-06-30,laus_unemployment_rate,MA6,1.0819110137377146,7
2009-06-30,laus_unemployment_rate,MA9,0.7689012182409269,7
2009-06-30,laus_unemployment_rate,Raw,1.4625573737491833,7
2009-07-31,employment,MA3,-1.3310091364845056,7
2009-07-31,employment,MA6,-1.3652204878482515,7
2009-07-31,employment,MA9,-1.3204788942778092,7
2009-07-31,employment,Raw,-1.1907346868507653,7
2009-07-31,labor_force,MA3,-0.9955901464703975,7
2009-07-31,labor_force,MA6,-1.1136309222928438,7
2009-07-31,labor_force,MA9,-1.1697189959972825,7
2009-07-31,labor_force,Raw,-0.7628527928276286,7
2009-07-31,laus_unemployment_rate,MA3,1.3846370668864159,7
2009-07-31,laus_unemployment_rate,MA6,1.2010718180278717,7
2009-07-31,laus_unemployment_rate,MA9,0.9412996887899128,7
2009-07-31,laus_unemployment_rate,Raw,1.4775957753412474,7
2009-08-31,employment,MA3,-1.3339450101387962,7
2009-08-31,employment,MA6,-1.374178565459573,7
2009-08-31,employment,MA9,-1.3692409794055158,7
2009-08-31,employment,Raw,-1.421917254315267,7
2009-08-31,labor_force,MA3,-0.9513696896987819,7
2009-08-31,labor_force,MA6,-1.0964557853729129,7
2009-08-31,labor_force,MA9,-1.1667221558970982,7
2009-08-31,labor_force,Raw,-1.069210501600708,7
2009-08-31,laus_unemployment_rate,MA3,1.4955868107700792,7
2009-08-31,laus_unemployment_rate,MA6,1.2850121240431778,7
2009-08-31,laus_unemployment_rate,MA9,1.1057431385398906,7
2009-08-31,laus_unemployment_rate,Raw,1.4786474312650586,7
2009-09-30,employment,MA3,-1.4248358357135444,7
2009-09-30,employment,MA6,-1.4175216499065075,7
2009-09-30,employment,MA9,-1.4299823294030685,7
2009-09-30,employment,Raw,-1.6152871376754356,7
2009-09-30,labor_force,MA3,-1.0637955196007005,7
2009-09-30,labor_force,MA6,-1.1211917360114458,7
2009-09-30,labor_force,MA9,-1.1858393556081654,7
2009-09-30,labor_force,Raw,-1.3024994293207783,7
2009-09-30,laus_unemployment_rate,MA3,1.5171896804488068,7
2009-09-30,laus_unemployment_rate,MA6,1.3742553123574182,7
2009-09-30,laus_unemployment_rate,MA9,1.2568088735940954,7
2009-09-30,laus_unemployment_rate,Raw,1.5269483035424496,7
2009-10-31,employment,MA3,-1.543217846969245,7
2009-10-31,employment,MA6,-1.4533930728437048,7
2009-10-31,employment,MA9,-1.450516145876491,7
2009-10-31,employment,Raw,-1.5411730314948389,7
2009-10-31,labor_force,MA3,-1.2196596005854377,7
2009-10-31,labor_force,MA6,-1.1274965099268155,7
2009-10-31,labor_force,MA9,-1.1811327373935006,7
2009-10-31,labor_force,Raw,-1.2189481336560972,7
2009-10-31,laus_unemployment_rate,MA3,1.538213425788809,7
2009-10-31,laus_unemployment_rate,MA6,1.4876598996321437,7
2009-10-31,laus_unemployment_rate,MA9,1.3453132521770108,7
2009-10-31,laus_unemployment_rate,Raw,1.540180669688972,7
2009-11-30,employment,MA3,-1.5651816771028464,7
2009-11-30,employment,MA6,-1.4661570956656207,7
2009-11-30,employment,MA9,-1.464184519952034,7
2009-11-30,employment,Raw,-1.4868397555059827,7
2009-11-30,labor_force,MA3,-1.2696109433829712,7
2009-11-30,labor_force,MA6,-1.1309489665416106,7
2009-11-30,labor_force,MA9,-1.1873338894647678,7
